# Rime table
# coding: utf-8
#@/db_name  custom_phrase_double.txt
#@/db_type	tabledb
#
# 自定义文本
#
# 以 Tab 分割：汉字<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（排在候选项的最前面）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以建议只固定非完整编码的字词，「的de」应为「的d」，「是shi」应为「是s」，「仙剑xianjian」应为「仙剑xj」。
#
# 最下面的英文是因为一些常用单词的第一候选项被纠错覆盖了，
# 比如 Amazon 被纠错为「a ma zong 阿妈粽」，
# 期望的 Amazon 跑到第二个候选项了，所以这里给它固定死喽。
#
# version: "2022-11-01"
#
# 此行之后不能写注释

# Tuzkiss's Personal Custom Phrase
PCDN	pcdn
MCDN	mcdn
NCDN	ncdn
P2P	ppp
真 P2P	ppp
B 站	bvj
哔哩哔哩	bvj
bilibili	bvj
哔哩哔哩	bili
bilibili	bili 
哔哩哔哩	bilibili 
# の	de
丶	dm
°C	du
m³	lifhmi
m²	pkfhmi
# 嗯嗯，好的 👌	enen
# 嗯嗯，对的 😎	enen
# 可以可以 👌	keyi
hhhhhhh...	hhh
hhhhhhh...	hhhh
hhhhhhh...	hhhhh
👌	ok
🥳	gsxi
😂	joy
🐂🍺	nqpi
强啊，专业，牛逼，大佬，66666 💪	qla
有丶东西 🤩	yzdmdsxi
✓	gzzi
×	iaia
×	ig
♂	nj
樑总	llzs
HEVC / H.265	hevc
AVC / H.264	avc
AV1	av
ChatGPT	chat
emmm....	emm
C 端	cdr
B 端	bdr

馬上到！	msd
什麼玩意兒!	wtf	2
What the fuck!	wtf	1
WTF	wtf	3
星際我爭霸	starcraft
HorizonZeroDawn	hzd	4
地平线：黎明时分	hzd	2
正在開會，一會給你回復：）	meet
中州韻輸入法引擎	rime	2
又双叒叕	yyy
http://rime.im/	rime	1
Rime	rime	3
⌘	cmd Command
⌃	ctl Control
⌥	opt Option
⇧	shift Shift
⇥	tab Tab
⇪	caps CapsLock
⏎	return Return
␣	space Space
⌫	del Del
⎋	esc Escape 
⏏	eject Eject
GBK	gbk
UTF-8	utfba
SeaTable	hdbn
AAC	aac
AAX	aax
AcFUN	acfun
Adblock	adblock
ADSL	adsl
AFP	afp
AGPS	agps
AirTag	airtag
AIFF	aiff
AkelPad	akelpad
AlBayan	albayan
AMD	amd
Amphetamine	amphetamine
Android	android
Annotable	annotable
AnyConnect	anyconnect
AnyDrop	anydrop
App Clips	app clips
AOL	aol
APFS	apfs
API	api
Arduino	arduino
Arial	arial
ARP	arp
aText	atext
Athelas	athelas
ATI	ati
ATM	atm
Automator	automator
Auxo	auxo
Axure	axure
Ayuthaya	ayuthaya
AZW	azw
Bangla	bangla
Baskerville	baskerville
BBC	bbc
BFR	bfr
BigCaslon	bigcaslon
Big Sur	big sur
Bitcron	bitcron
BlackBerry	black berry
BMP	bmp
Bodoni	bodoni
Brackets	brackets
Bug	bug
Calcbot	calcbot
Calibre	calibre
Calibri	calibri
CATIA	catia
CDMA	cdma
CDN	cdn
Cochin	cochin
Cond	cond
Copperplate	copperplate
Corsiva	corsiva
Cortana	cortana
CPU	cpu
Curio	curio
Cydia	cydia
CentOS	centos
Devanagari	devanagari
DFU	dfu
DHCP	dhcp
Didot	didot
Diumoo	diumoo
DNS	dns
DOC	doc
DOCX	docx
Drafts	drafts
Droplr	droplr
Due	due
DVD	dvd
DVI	dvi
EarPods	earpods
Elpass	elpass
EdgePoint	edge point
EdgeSwitch	edge switch
eDRAM	edram
EDXOR	edxor
Emacs	emacs
ePub	epub
eSATA	esata
Evernote	evernote
ExFAT	exfat
FALSE	false
FAQ	faq
Farah	farah
Farisi	farisi
FAT	fat
Flickr	flickr
Followers	followers
FTP	ftp
Futura	futura
Gestimer	gestimer
GHz	ghz
GIF	gif
GillSans	gillsans
GIMP	gimp
